rvr_address,rvr_name,evo5_address,evo5_prior_name,similarity,rvr_instr_count,evo5_instr_count,decision
0001a31a,status_flags_f202_build,0001a41a,status_flags_f202_build,1.0,30,30,ALREADY_CORRECT
0001a36f,dtc_status_flags_f204_f206_build,0001a46f,dtc_status_flags_f204_f206_build,1.0,113,113,ALREADY_CORRECT
00020000,flash_boot_init,00020000,flash_boot_init,1.0,12,12,SKIPPED_TOO_SHORT
00020024,boot_ram_block_copy,00020024,boot_ram_block_copy,1.0,6,6,SKIPPED_TOO_SHORT
00020030,boot_main_loop,0002038d,sci1_rx_byte_wait_loop,0.4,9,6,SKIPPED_TOO_SHORT
00020048,boot_sci1_init,00020048,boot_sci1_init,1.0,12,12,SKIPPED_TOO_SHORT
0002006e,boot_sci1_receive_command,0002014c,sci1_boot_cmd_type_rx_validate,0.5833,9,15,SKIPPED_TOO_SHORT
00020084,boot_sci1_receive_config_bytes,00020084,boot_sci1_receive_config_bytes,1.0,43,43,ALREADY_CORRECT
00020104,boot_sci1_rom_id_verify,00020104,FUN_00020104,0.9048,19,23,SKIPPED_LOW_SIMILARITY
0002014c,sci1_boot_cmd_type_rx_validate,0002014c,sci1_boot_cmd_type_rx_validate,1.0,15,15,ALREADY_CORRECT
0002016e,sci1_boot_cmd_dispatch,0002016e,sci1_boot_cmd_dispatch,1.0,34,34,ALREADY_CORRECT
000201c0,sci1_boot_security_seed_check,000201c0,sci1_boot_security_seed_check,1.0,13,13,SKIPPED_TOO_SHORT
000201ec,sci1_boot_flash_erase_dispatch,0002014c,sci1_boot_cmd_type_rx_validate,0.6154,11,15,SKIPPED_TOO_SHORT
000202b2,sci1_boot_checksum_accumulate,000202b2,sci1_boot_checksum_accumulate,1.0,10,10,SKIPPED_TOO_SHORT
000202c9,sci1_boot_flash_write_param_rx,00020084,boot_sci1_receive_config_bytes,0.6377,26,43,SKIPPED_LOW_SIMILARITY
0002036d,scratch_pjmp_demo,000202b2,sci1_boot_checksum_accumulate,0.2857,4,10,SKIPPED_TOO_SHORT
00020379,sci1_tx_byte_blocking,00020379,sci1_tx_byte_blocking,1.0,5,5,SKIPPED_TOO_SHORT
00020388,sci1_boot_tx_then_rx_transaction,00020388,sci1_boot_tx_then_rx_transaction,1.0,3,3,SKIPPED_TOO_SHORT
0002038d,sci1_rx_byte_wait_loop,0002038d,sci1_rx_byte_wait_loop,1.0,6,6,SKIPPED_TOO_SHORT
00020398,sci1_boot_rx_byte_enqueue,00020398,sci1_boot_rx_byte_enqueue,1.0,4,4,SKIPPED_TOO_SHORT
0002039f,sci1_boot_rxbuf_write,0002039f,sci1_boot_rxbuf_write,1.0,12,12,SKIPPED_TOO_SHORT
000203bd,sci1_boot_rxbuf_read,000203bd,sci1_boot_rxbuf_read,1.0,15,15,ALREADY_CORRECT
000203e4,sci1_rx_byte_poll_or_error,000203e4,sci1_rx_byte_poll_or_error,1.0,20,20,ALREADY_CORRECT
0002041b,sci1_boot_tx_buf_drain,00020646,sci1_boot_build_eof_frame,0.6667,8,10,SKIPPED_TOO_SHORT
0002042c,sci1_boot_handshake_and_bulk_rx,00020104,FUN_00020104,0.4286,19,23,SKIPPED_LOW_SIMILARITY
00020461,sci1_boot_flash_addr_range_validate,0002042c,FUN_0002042c,0.7478,47,68,SKIPPED_LOW_SIMILARITY
000204dd,sci1_boot_flash_write_block_loop,000204dd,sci1_boot_flash_write_block_loop,1.0,70,70,ALREADY_CORRECT
000205a7,sci1_boot_build_data_frame,000205a7,sci1_boot_build_data_frame,1.0,41,41,ALREADY_CORRECT
000205fe,sci1_boot_build_row_addr_frame,000205fe,sci1_boot_build_row_addr_frame,1.0,31,31,ALREADY_CORRECT
00020640,sci1_boot_switch_case4_frag_20640,0001a285,o2_wideband_mode82_check,0.0,3,5,SKIPPED_TOO_SHORT
00020646,sci1_boot_build_eof_frame,00020646,sci1_boot_build_eof_frame,1.0,10,10,SKIPPED_TOO_SHORT
00020664,sci1_colon_frame_dispatch,00020664,FUN_00020664,0.9254,31,36,SKIPPED_LOW_SIMILARITY
00020715,sci1_boot_ihex_colon_record_decode_dispatch,0002039f,sci1_boot_rxbuf_write,0.4324,25,12,SKIPPED_LOW_SIMILARITY
00020782,f26e_cluster_accumulator_unrelated_to_ihex,00020664,FUN_00020664,0.3571,48,36,SKIPPED_LOW_SIMILARITY
0002080c,flash_erase_sectors,0002080c,flash_erase_sectors,1.0,18,18,ALREADY_CORRECT
00020844,flash_write_or_verify,00020844,flash_write_or_verify,1.0,27,27,ALREADY_CORRECT
00020888,flash_write_marked_blocks_loop,00020888,flash_write_marked_blocks_loop,1.0,27,27,ALREADY_CORRECT
000208c6,flash_byte_program_verify,000208c6,flash_byte_program_verify,1.0,27,27,ALREADY_CORRECT
00020910,flash_timing_delay,00020910,flash_timing_delay,1.0,17,17,ALREADY_CORRECT
0002093c,flash_erase_sector_loop,0002093c,flash_erase_sector_loop,1.0,32,32,ALREADY_CORRECT
00020992,flash_vpp_pulse_handshake_echo_verify,000208c6,flash_byte_program_verify,0.6761,44,27,SKIPPED_LOW_SIMILARITY
00020a80,main_loop,00020a80,main_loop,1.0,30,30,ALREADY_CORRECT
00020b00,cold_init_dispatch,00020b00,cold_init_dispatch,1.0,8,8,SKIPPED_TOO_SHORT
00020b1c,subsystem_cold_init,00020b1c,subsystem_cold_init,1.0,17,17,ALREADY_CORRECT
00020b5e,check_cold_init_complete_sentinel_ef62,00020b5e,check_cold_init_complete_sentinel_ef62,1.0,123,123,ALREADY_CORRECT
00020ccd,subsystem_unconditional_init_chain,00020ccd,subsystem_unconditional_init_chain,1.0,30,30,ALREADY_CORRECT
00020d80,peripheral_cold_init_wrapper_set_ef7a,00020d80,peripheral_cold_init_wrapper_set_ef7a,1.0,3,3,SKIPPED_TOO_SHORT
00020d8b,status_word_consumer_periodic,00020d8b,status_word_consumer_periodic,1.0,27,27,ALREADY_CORRECT
00020e00,init_ee82_ee8a_from_rom_const,00020e00,init_ee82_ee8a_from_rom_const,1.0,4,4,SKIPPED_TOO_SHORT
00020e10,post_init_status_compose_and_ef98_signal,00020e10,post_init_status_compose_and_ef98_signal,1.0,30,30,ALREADY_CORRECT
00020e89,table_select_scale_fanout_f1be_f1c2,00020e89,table_select_scale_fanout_f1be_f1c2,1.0,36,36,ALREADY_CORRECT
00020efa,main_loop_engine_control_update,00020b1c,subsystem_cold_init,0.8276,12,17,SKIPPED_TOO_SHORT
00020f28,gear_state_config_loader_f1fc,00020f28,FUN_00020f28,0.9882,43,42,APPLIED
00020fb1,cond_reset_and_latch_f10e_f118_prev,00020fb1,cond_reset_and_latch_f10e_f118_prev,1.0,15,15,ALREADY_CORRECT
00020fe5,periodic_status_compose_and_stall_check,00020fe5,periodic_status_compose_and_stall_check,1.0,8,8,SKIPPED_TOO_SHORT
00021003,compose_status_word_f0f8,00021003,FUN_00021003,0.9326,90,103,SKIPPED_LOW_SIMILARITY
00021107,fuel_cut_enable_check,00021131,FUN_00021131,1.0,52,52,APPLIED
000211a1,fuel_cut_rpm_offset_select,000211cb,fuel_cut_rpm_offset_select,1.0,16,16,ALREADY_CORRECT
000211c8,crank_stall_detect_update,000211f2,FUN_000211f2,1.0,15,15,APPLIED
000211fb,sensor_adc_update,00021225,FUN_00021225,1.0,8,8,SKIPPED_TOO_SHORT
00021219,map_tps_axis_update,00021243,FUN_00021243,1.0,30,30,APPLIED
0002127f,tps_range_clamp_update,000212a9,FUN_000212a9,1.0,51,51,APPLIED
00021314,calc_f110_f10e_via_table,0002133e,FUN_0002133e,1.0,37,37,APPLIED
00021396,iat_axis_update,000213c0,FUN_000213c0,1.0,20,20,APPLIED
000213da,calc_f118_via_table,00021404,FUN_00021404,1.0,17,17,APPLIED
00021414,coolant_temp_validity_and_scale,0002143e,FUN_0002143e,1.0,16,16,APPLIED
0002144b,coolant_temp_range_check,00021475,coolant_temp_range_check,1.0,17,17,ALREADY_CORRECT
00021480,manifold_heat_enable_flag_update,000214aa,FUN_000214aa,0.9706,35,33,APPLIED
000214ea,tps_delta_calc,0002150e,FUN_0002150e,1.0,25,25,APPLIED
0002153b,iac_position_integrator,0002155f,FUN_0002155f,1.0,47,47,APPLIED
000215c8,idle_closed_loop_ready_check,000215ec,idle_closed_loop_ready_check,1.0,35,35,ALREADY_CORRECT
00021636,throttle_target_ramp_update,0002165a,FUN_0002165a,1.0,125,125,APPLIED
000217b6,throttle_ramp_enable_check,000217da,throttle_ramp_enable_check,1.0,16,16,ALREADY_CORRECT
000217e3,throttle_body_update,00021807,FUN_00021807,0.8571,12,16,SKIPPED_TOO_SHORT
0002180b,engine_torque_scale_state_reset,0002183d,engine_torque_scale_state_reset,1.0,17,17,ALREADY_CORRECT
0002184b,engine_torque_pct_scale_calc,0002187d,FUN_0002187d,1.0,39,39,APPLIED
000218c0,throttle_body_pos_error_calc,000218f2,FUN_000218f2,1.0,32,32,APPLIED
00021928,throttle_param_table_select,0002195a,throttle_param_table_select,1.0,8,8,SKIPPED_TOO_SHORT
00021942,lambda_enable_flag_update,00021974,FUN_00021974,1.0,11,11,SKIPPED_TOO_SHORT
00021962,lambda_enable_inhibit_check,00021994,lambda_enable_inhibit_check,1.0,11,11,SKIPPED_TOO_SHORT
00021983,lambda_correction_output_calc,000219b5,FUN_000219b5,1.0,31,31,APPLIED
000219e2,fueling_lambda_update,00021a14,FUN_00021a14,1.0,12,12,SKIPPED_TOO_SHORT
00021a0e,fueling_base_injection_calc,00021a40,FUN_00021a40,1.0,51,51,APPLIED
00021aa5,fueling_accel_enrichment_calc,00021ad7,FUN_00021ad7,1.0,26,26,APPLIED
00021af3,fueling_openloop_output_copy,00021b25,fueling_openloop_output_copy,1.0,17,17,ALREADY_CORRECT
00021b2d,fueling_throttle_zone_flags_update,00021b5f,FUN_00021b5f,1.0,30,30,APPLIED
00021b8f,fueling_inj_target_select,00021bc1,fueling_inj_target_select,1.0,33,33,ALREADY_CORRECT
00021bf3,fueling_inj_accum_clamp_drain,00021c25,FUN_00021c25,1.0,19,19,APPLIED
00021c2f,fueling_inj_pw_calc,00021c61,FUN_00021c61,1.0,116,116,APPLIED
00021d5e,fueling_wideband_output_scale,00021d90,FUN_00021d90,1.0,36,36,APPLIED
00021dc8,fueling_coolant_inj_offset_calc,00021dfa,FUN_00021dfa,1.0,15,15,APPLIED
00021df5,rpm_load_zone_counter_update,00021e27,FUN_00021e27,1.0,65,65,APPLIED
00021f00,inj_channel_state_init,00021f80,inj_channel_state_init,1.0,10,10,SKIPPED_TOO_SHORT
00021f21,ecu_openloop_state_reset,00021fa1,ecu_openloop_state_reset,1.0,3,3,SKIPPED_TOO_SHORT
00021f2e,main_control_loop_update,00021fae,FUN_00021fae,0.9032,17,14,SKIPPED_LOW_SIMILARITY
