address,name,return_type,params,calling_convention,hash,instruction_count
00014502,swap_bytes_u16,ushort,"ushort",__stdcall_far_allstack,1ddfd029cb9b75310d82cb5e084ff38d2c4da4e6007097dde7ff9d4170bee3b4,5
0001450b,swap_invert_high_byte,undefined2,"byte",__stdcall_far_allstack,7812ac119a0ff1dff80c79a30ebb97fd30e3d07032777728d464aa9f29e26783,8
0001451a,zero_ram_range,void,"ushort ushort",__stdcall_far_allstack,12c843e1be48d2b8c95577a67789a896660da59a398911073df3681ef9594480,10
0001452d,decrement_counters_in_range,void,"ushort ushort",__stdcall_far_allstack,486912f45059e5338f99d78ca76122f348ece5910f10b50eafb69f0cd5edab2a,15
0001454c,increment_counters_in_range,void,"ushort ushort",__stdcall_far_allstack,8e7273d4b57fd29df62a40b530e68e3bab5b39527d80ba5df2009f7decc29e3c,15
0001456d,axis_interp_lerp_u8frac_256,ushort,"ushort ushort ushort",__stdcall_far_allstack,8a16e8574ad121b81583c133971aff61e674594e64f969549749f0dce591e11c,20
00014599,weighted_blend_u8frac,short,"ushort ushort ushort",__stdcall_far_allstack_32ret,17a20bf89917cc2ad19896091958bd25124412cdfce0bdca066b715b5615435c,19
000145c5,weighted_blend_4term_u8frac,ushort,"ushort ushort ushort ushort ushort",__stdcall_far_allstack,4c8c9727a0e4f584bd73fe5cf27ef8bcd47ec6099718d9f70fd7ac6766d32a19,31
0001460d,weighted_blend_2term_u8frac_div255,undefined,"",unknown,f3d4689f0657701a30105904807ce25440d998365e56389ecd8ec24562620d9e,29
00014656,table_lookup_interp,ushort,"ushort void *16",__stdcall_far_2arg,b0d4aec200658785f66505c5133d418d3726ef0b061643a07d16c688a8c4c871,99
00014735,axis_lookup_interp,undefined2,"byte void *16",__stdcall,11d3649e4d4abf46639066ad0b46ae478fce1804ee56640d151dffa908d0b8a8,66
000147c6,axis_interp_lerp_u8frac,ushort,"ushort ushort short",__stdcall_far_allstack,4496273f42510ef3d172093f457c76b50a8b888d9bc0656d2888d8ff4a534429,39
0001481c,read_indexed_byte_f1fc,undefined1,"byte void *16",__stdcall_far_allstack,5c7e21cffeb3127c519075a87cf7aba8d821e5eeabb83d1f0cd89fb7d8496eca,12
00014838,table_read_word_indexed_f1fc,undefined,"byte void *16",unknown,973173d7ebb73a314d5b2ec97e316d790ba1bc438e294fab8f51c16dd72bc37e,12
00014854,table_lookup_indexed,ushort,"ushort void *16",__stdcall_far_2arg,8f2d9d92bdb6c063dda01cd8059689222f371ba42c0dd9170166dd01ee16559c,18
00014880,table_read_indexed,ushort,"byte void *16",__stdcall_far_allstack,2589808b11d7e382fc7c70e180e702570f99c8a1d26bf26d7d96197423c2236c,14
000148a2,table_3axis_interp_triple,ushort,"ushort void *16",__stdcall_far_2arg,f607eb9142e0cd516887976584337a1afaf648f93c1259fdafe13b9a6b49506e,96
0001497b,table_3axis_interp_triple_wrapper,undefined,"byte void *16",unknown,8f2d9d92bdb6c063dda01cd8059689222f371ba42c0dd9170166dd01ee16559c,18
000149a7,gear_indexed_table_lookup_f1fc,undefined,"byte void *16",unknown,2589808b11d7e382fc7c70e180e702570f99c8a1d26bf26d7d96197423c2236c,14
000149c8,init_copy_const_block_via_memcpy_banked,undefined,"",unknown,5b9b1baa96a21480adb59313c0214408176d68a55c686fc3c35dbbbfe913758f,16
000149f5,eeprom_backup_table_write_dispatch,undefined,"",unknown,51f44ce3bf3bbc6edc97cef8cf08b61125fe55823cc7265e7bfa07bf69df2718,339
00014d6f,channel_validity_gated_handler_dispatch,void,"ushort",__stdcall_far_allstack,dba5641e3f7d3e90b6dba471ffe254a62d38e25edebc421eb002db7c6897e37d,42
00014dd8,adc_backup_snapshot_write_if_time_elapsed,undefined,"",unknown,19cfd78e8dd4590c86c0d2d1aeb7d2932831dbada83b18b7cef28f2fd85f21f9,103
00014edd,channel_periodic_update_ringbuf_snapshot,undefined,"",unknown,a3bb2e1d58519adcd5934774cf117d9f4a3957bb46ae563df443b1466ccba87f,142
0001504b,adc_5channel_backup_snapshot_write,undefined,"",unknown,4646e427061594846f6e58eff0c822359310a01c91901b663e36610d0407992a,116
0001517c,entry,undefined,"",unknown,843a2b5d3dd9b6a15e0a5174643dae135da2aec99aef2a550764a6af5c756334,11
0001519e,stub_empty_0x1519e,undefined,"",unknown,5c697bef04875c046830fdbe33a67873eac27f3e12c45c2ed89e3613cec580bc,1
000151a0,noop_return,undefined,"",unknown,5c697bef04875c046830fdbe33a67873eac27f3e12c45c2ed89e3613cec580bc,1
000151a2,peripheral_register_cold_init,undefined,"",unknown,e5c68242676ede6a8af4b574c40778fdd5b516a7adcc361750e6f60486540bb6,62
0001528c,peripheral_register_warm_init,undefined,"",unknown,d6eaf7fd94731f1cd96d70b7ad73a1ca8f0481244eb08ac04c1f9d1c095a8c98,35
00015319,update_flag_f9a0_bit6_cond,undefined,"",unknown,da138abf86e644ad749fbe358438d78d890d0ea805170f696a25c6a5ab276db2,13
00015341,compose_status_words_f0f6_fc,undefined,"",unknown,564e7ea08619357467972029e6cf8a73a18260d72771af08d91d6d72fef11d42,127
00015477,compose_status_word_f102,undefined,"",unknown,a3dc89dc7d926a7d01ad106ba641d276a460a963a6840703994666a923b83420,82
0001553d,check_flag_fe96_bit7_clear,undefined,"",unknown,efb5afe6f9a5d921669183a87486422610efe7d11be5b7a990b0af1f95ba6611,5
00015549,check_flag_f0d8_bit0_clear,uchar,"",unknown,efb5afe6f9a5d921669183a87486422610efe7d11be5b7a990b0af1f95ba6611,5
00015555,check_flag_fe87_bit1_clear,undefined,"",unknown,efb5afe6f9a5d921669183a87486422610efe7d11be5b7a990b0af1f95ba6611,5
00015561,check_flag_fe8a_bit1_set,undefined,"",unknown,1d826b2a94c45d796cf32e6c56bf018f5a62a083e0cba0b812acab339cc5612e,5
0001556d,adc_read_sequence_main,undefined,"",unknown,acd403b58afc0c3191a347b424162164beef58620380789758d8b9aee396b038,87
0001566c,adc_channel_read_and_store_f16e,undefined,"",unknown,cddf3acea9af090b596a50d1712a64d290812fa114625a9bae40a6a6eb5c4d65,12
00015689,adc_read_sequence_b,undefined,"",unknown,3c23fdcb57030974215a8c79923c2b6e45a69e151cf894ffa743bf78b0b65a9b,13
000156ad,adc_read_channel_6,undefined,"",unknown,fd480c0e4a94c4622deb5a63d65970a1fd3be1ac54be4085bafe6a85db6bbb4f,8
000156c2,zero_var_f15a,undefined,"",unknown,b81af3b0b0501e09bca51c6bf1f2376b5ae7bc3824e3166861bb31a01508b327,2
000156c8,identity_passthrough_u16_b,undefined,"",unknown,060d8a7cda012bbb7da8add845b4420b9d85d4a6d2035de723480e3687f0cf21,3
000156ce,mirror_status_f0e6_to_ports,undefined,"",unknown,a46e6ecc7be4086ad2c287d70e663d9310bef8e2dce1468045db2767cca37196,68
0001578f,mirror_status_f0ea_to_ports,ushort,"ushort",__stdcall,ad8186ae46f705c45cec60ddf9a82517fe902f736b66ca320bc40dfb5cf1a555,71
00015857,update_flag_fe97_bit2_cond,undefined,"",unknown,85e376e577fd879b1ef679b1c36972b96490d4cf9cf2bbb28d06c2dbcc69b4ce,11
00015877,update_flag_fe82_bit2_cond,undefined,"",unknown,0ccb98323c1a0a0c10e46d5be2e8b07067e23a13564f780bc16ec54cf9c829c0,11
00015897,toggle_flag_fe8b_bit4,undefined,"",unknown,21b803184143a10b63aaa531845885fbf3d1867fd4a1ea8714115622db40fefb,2
0001589d,clear_flag_fe93_bit4,undefined,"",unknown,7451c81dfe0391cc4db2fe7b3fd963c20da3b976e974238eec250e9b76e76b81,2
000158a7,update_port_fe82_indexed,undefined,"",unknown,0ddfb55940827a6a830a6aad76df9d8a92814a81de518bf2b1fbba1511496567,17
000158d7,software_pwm_output_scheduler,void,"",__stdcall_far_allstack,bb02a3487011b513849b3869ffdad7bff99a71fc22d034b7863d3240af899356,100
00015a06,serial_fef9_duty_scale_and_set,undefined,"",unknown,753f0f23183f7c52a80e7a70e7e9874fed4708b68f591bd2bd25c5fe61ceb717,18
00015a3a,init_scale_factor_f9ac,undefined2,"ushort",__stdcall_far_allstack,5f375b4b853bb45f3fc5cc7f6adf779c1196df085d67abe69c3198271302872c,17
00015a6c,identity_passthrough_arg1_unused,undefined,"",unknown,3f5e6261687cab194e88aacf51566f03a35147e028e56f277bb2e8066ba21d16,5
00015a76,peripheral_regs_ff2x_ff9x_bulk_zero_init,undefined,"",unknown,3d2bdd2f9d1a08f0f2ebe45a400fa2455925a133eff704408cd7fab06a5ddd27,35
00015aff,init_reg_feb8_feb9,undefined,"",unknown,b10192a36e5c644fd1d0723e72eb915f9971ef515feca1bee629ab83662effc6,3
00015b0b,noop_return_void,undefined,"",unknown,5c697bef04875c046830fdbe33a67873eac27f3e12c45c2ed89e3613cec580bc,1
00015b0d,adc_channel_convert_and_read,ushort,"uchar",__stdcall_far_allstack,4329b01d15a92a14ac4965bc79e7d629cc0f91ddf8a9307d8530b91bb6153b29,17
00015b3f,init_state_block_f97a,ushort,"ushort",__stdcall,d3b052461318c5f02e4ce8dff2cadcc1da6613c2532d20abd464788ada0d22d4,20
00015b90,init_flags_ff51_52,undefined,"",unknown,920f58fb30a405d00578b84c7bbd317e450eae9581dba0f6286b49a58a391412,4
00015b9e,sci1_timing_period_tracker,undefined,"",unknown,22e7867dcabdbe90229f8cb710513dcbc8e957c7537996ac06357ea72076efd2,32
00015c0a,isr_sci1_eri_reset_timeout,ushort,"ushort",__stdcall,f6e91f4da02aeaec2877e10c499ebdd22a348fa433be1d6ef9b5e4d70c5b5e2a,28
00015c6c,detect_sci1_param_change_reset,undefined,"",unknown,aee6a956c173b5608604621216d5ec56e7d9ac182c28f925fe2d924693cf9b43,19
00015caa,isr_sci1_eri,undefined,"",unknown,e700aebe0510d52a5971d98d06a856d18ca4a531d559f95cb956a4c05d4337f4,8
00015cbd,timer_block_cold_init,undefined,"",unknown,c2def471debaf2461064e834ea72df637862661214b551e69edb1fc2bbee0349,30
00015d36,timer_block_cold_init_b,undefined,"",unknown,59a5ae50dfd565d5a31d80be880871a4db8a12df85372aa6b870aae964e945c6,22
00015d92,isr_sci2_eri,undefined,"",unknown,86d9a23d72cc982b1d00f3f9df5acc6de1e65cfdc529b89117cca4d320e6bd63,21
00015dd0,timer_ff41_ff44_ff4a_cold_init,undefined,"",unknown,51ac4454ea37b89b43a55eed3f61509103c56352e1426e05c4e21214f71683f2,14
00015e01,timer_ff41_ff42_warm_init,undefined,"",unknown,e366b0990f5400150204c8c53e98c3e674e47054ecffdceeee3f33cbd6c40aac,6
00015e17,sci3_timeout_set_abort,undefined2,"ushort short",__stdcall_far_allstack,593f519da522321d4bb797c786e340306f334675b6f9db29d0dab1f29ab1f37f,33
00015e79,sci3_timeout_set_retry,undefined2,"ushort short",__stdcall_far_allstack,593f519da522321d4bb797c786e340306f334675b6f9db29d0dab1f29ab1f37f,33
00015edb,sci3_timeout_clear_flag,undefined2,"ushort",__stdcall_far_allstack,83c444efd1a9418de94e19ad80603fda0b4b8b5599829bc77162e27a2ea77d4a,23
00015f1a,timer_ff44_ff4a_arm_channels_atomic,undefined2,"ushort",__stdcall_far_allstack,061b4b2e3f1b62db5077027b4afbcfff44948f3d5e820c9cb461a140e53a30f5,30
00015f71,timer4_oc_arm_from_flags,undefined2,"ushort",__stdcall_far_allstack,061b4b2e3f1b62db5077027b4afbcfff44948f3d5e820c9cb461a140e53a30f5,30
00015fc8,isr_sci3_rxi,undefined,"",unknown,d3ca54da358f6c0b3e49842e35ea4d63ce8631be48188dc25ba4d583cffdf61f,14
00015fec,isr_sci3_txi,undefined,"",unknown,19591dd80240807c4c220ac8b5cfa201d15c12094b4989d6bb6b5c3dfc96c0c6,22
00016029,compose_status_bits_fe86_fe8a,undefined,"",unknown,79663bdbb6b6c2af44d40c60560a555505ed97d28badf787edb9f4156e30e34e,20
00016059,peripheral_block_ff15_cold_init,undefined,"",unknown,1886637323efa630caee22a53f8bef9b56279ee41fb798483910794ce9fb000a,14
0001609d,peripheral_block_ff15_warm_init,undefined,"",unknown,2f54e310c07dec8ce4c48c98828484b229d3ff3bb93c939f47131c80a7e0b20b,12
000160d9,isr_nmi,void,"",unknown,8d82c35442e51023be39ac2dea7c9806faf893408d961abdc104a42ae2bc0e6d,16
00016102,peripheral_reg_ff1d_cold_init,undefined,"",unknown,a2b73e666767e7eb55215010d4b1afde70bf3aee2aeb54763774b85a5696cee4,2
00016109,peripheral_reg_ff1d_warm_init,undefined,"",unknown,a2b73e666767e7eb55215010d4b1afde70bf3aee2aeb54763774b85a5696cee4,2
00016110,latch_flag_read_fede_bit1,undefined,"",unknown,81563c0de77d83ebf7f14585a89e9d0c9c4734280c5758466a9f61960fe2fc6b,9
00016128,check_flag_fede_bit2_clear_if_set,undefined,"",unknown,81563c0de77d83ebf7f14585a89e9d0c9c4734280c5758466a9f61960fe2fc6b,9
00016140,latch_flag_read_fede_bit3,undefined,"",unknown,81563c0de77d83ebf7f14585a89e9d0c9c4734280c5758466a9f61960fe2fc6b,9
00016158,stub_empty_0x16158,undefined,"",unknown,5c697bef04875c046830fdbe33a67873eac27f3e12c45c2ed89e3613cec580bc,1
0001615a,stub_empty_0x1615a,undefined,"",unknown,5c697bef04875c046830fdbe33a67873eac27f3e12c45c2ed89e3613cec580bc,1
0001615c,propagate_flag_fe96_to_f0d8_db,undefined,"",unknown,edd72b30d4419624fe0b08ccd3d323a4bdc2628ae428c456de415413e07a5670,38
000161ba,peripheral_block_ff90_cold_init,undefined,"",unknown,f525333ad99e98192a2fb23444959634f292d77114e94950be5fe844a5c7ebda,5
000161d0,peripheral_block_ff90_warm_init,undefined,"",unknown,f525333ad99e98192a2fb23444959634f292d77114e94950be5fe844a5c7ebda,5
000161e6,scale_counter_ff96_to_byte_clamped,undefined,"",unknown,0f7d3236b385154ebdc2e6e69bbe0644b06a5e732611dd1bf2025bfc72b39250,22
00016222,init_state_block_ff21,undefined,"",unknown,57900a799a1d26816e8f8d69646dc3156917b8b467f1099578cdcef7b6bea12c,20
0001626c,peripheral_block_ff21_warm_init,undefined,"",unknown,9b5324e550061db86fc655021e9b9ff61f5c5f5a0e1a04d7c3daefb6d4a67045,12
00016297,multi_channel_reg_write_and_poll_ff2x_ff3x,undefined2,"ushort ushort",__stdcall_far_allstack,6df33a54d003d5b72f9f0d934525a6bd6258ac11c32da1f028c86f4e62810623,95
000163cc,isr_adi_adc,undefined,"",unknown,412a5ac27f8209d0ff69a9d6b5f781ab8998b2b422f3180acfdab66a06718426,12
000163eb,ff2a_set_clamped_to_ff26p2_atomic,undefined,"",unknown,598670b4f6facbf5d3240534ba2382c482efec470df778c5ff796260675913e4,15
00016410,compose_fe86_fe8a_status_nibble,undefined,"",unknown,727b698fc29336442e16f006f175567ffa6671f4ca41879e76616fe48d44d6f4,16
0001643a,timer_ff51_ff54_arm_init,undefined,"",unknown,69fc8d2302760db4913a2e32c2c2c4fe069b0c151285dd56ab6c55d2bdf7b3f6,11
0001645e,timer_ff51_ff52_disarm,undefined,"",unknown,e437fadbfe2b3c1ddd979673ad257f4bcd12ec73008e789673487ee4b319671c,4
0001646c,init_state_block_ff54,undefined,"",unknown,8afaff06ad1a1816459f21c68dc3961cae2baae5f6654703b0ce21a9318c0bd0,9
00016488,timer_ff5a_set_clamped_armed,undefined2,"short",__stdcall_far_allstack,a8bf7ef84f8e624d21c9d329d6dd3752eb6a29a3dacaa6b3fe02ee7dfa6e2963,17
000164b7,serial_fef4_cold_init,undefined,"",unknown,8c13600a2abf15e99e5330f5fab438c12c51860a44b307285892def9083963fd,9
000164da,serial_fef4_warm_init,undefined,"",unknown,611895daf291f8191c5df956b0e537699b63846e3ecd52c541753efb1ede784c,8
000164f8,serial_fef1_set_clamped,undefined,"",unknown,0801334c4d38e3fa21020b7d77ee1280062de70fb7a10c8d93bcc3329735a3cf,5
00016505,serial_fef5_set_clamped,undefined,"",unknown,0801334c4d38e3fa21020b7d77ee1280062de70fb7a10c8d93bcc3329735a3cf,5
00016512,serial_fef9_set_clamped,undefined,"",unknown,0801334c4d38e3fa21020b7d77ee1280062de70fb7a10c8d93bcc3329735a3cf,5
0001651f,peripheral_block_fec0_fed0_cold_init,undefined,"",unknown,675d33ad575e01b9b9d79c8f9f97c9c16ae9e1980fe31d0e5a2bce910bfe72f7,13
0001655a,peripheral_fec0_fed0_state_update,undefined,"",unknown,ba91aefd4c1a961a6e1653be365362f01aaed2e4d0749b1c5115e209526d7b48,51
00016600,serial_fec3_load_byte0_init,undefined,"",unknown,0f9687049d6bf2d1bc81e04f3642de445ee6408387c7e5414044a991ea98e213,16
00016631,serial_fec3_load_next_byte,undefined,"",unknown,c14b4949bd0b43e2d44af0b7e1e584090f6327b0c04025b4e7d6703c9221e947,22
00016680,serial_fec5_byte_to_fifo,undefined,"",unknown,dc6650604ba81a1e692bba6d225a1bfbfe07dae53da240a7768efdd8157ddd71,25
000166cd,latch_request_f588,ushort,"ushort",__stdcall,d1f3d8ca1390cb573cb1142803d5d24778667c46db5e6e567534e8245117a68f,4
000166d7,sci1_tx_response_feeder,undefined,"",unknown,580e798a0d6415b67ce638ceff1b9ad62588c1a7673672d34fdbf85f9f86ba06,21
00016716,sci1_rx_frame_accumulator,ushort,"ushort",__stdcall,5846705d05f5182a69f980e3a92bb0109d61f73150003c7f84bf911ed1d6f114,32
0001677c,sci_request_latch_f58a_conditional,ushort,"ushort",__stdcall,d1f3d8ca1390cb573cb1142803d5d24778667c46db5e6e567534e8245117a68f,4
00016786,sci_fifo_f58a_advance_and_load_fed3,void,"",unknown,580e798a0d6415b67ce638ceff1b9ad62588c1a7673672d34fdbf85f9f86ba06,21
000167c5,fedd5_fifo_rx_store_byte,ushort,"ushort",__stdcall,5846705d05f5182a69f980e3a92bb0109d61f73150003c7f84bf911ed1d6f114,32
0001682b,isr_tpu5_tgi5a_sci1_rx_poll,undefined,"",unknown,7ca3d919837fd35f3c28b87bdf1427ea188edca0d0cc247d67b39e8d0a916edb,19
00016865,isr_tpu5_tgi5b_sci1_tie_clear,undefined,"",unknown,9751695d9c7849ee7b4bce6966bc8edc95ae360b220591e748efdf1cd3bee326,5
00016872,isr_tpu5_tci5u,undefined,"",unknown,a348e45e71b725304e310d1d426f0d89336567f42c9ee1444cb6ed1c7a22ff66,12
00016890,init_state_sentinels_f5d2,undefined,"",unknown,eb65bcc67ad4fe746439d90577bf4b698e4906beb486bf49878886f87225fab2,21
000168d9,peripheral_ff42_ff62_enable,undefined,"",unknown,1e86e6467626dd435e54350e02f7a0a117ee92f4e8f7e6468f1e64cf413e8d55,3
000168e3,isr_ipu_ch2ch4_input_capture,undefined,"",unknown,4fa6c39c9eef3e4723d75863a28656be7d9225197c38df15a238438b4fd15dae,146
00016a97,flag_read_ff43_bit0_inverted,uchar,"",unknown,efb5afe6f9a5d921669183a87486422610efe7d11be5b7a990b0af1f95ba6611,5
00016aa3,peripheral_block_ff70_ff88_cold_init,void,"",unknown,27bc6e12aed631490ed6ff5c10430a77364e88d78762bb88824049d69b111dce,59
00016b83,peripheral_block_ff70_ff88_warm_init,void,"",unknown,54b9ec3a96d38fb9f46c2741bc4d774bcb5dd9cd24335942ef4f8716d539ee8c,36
00016c09,f978_read_and_clear,ushort,"",unknown,7961824431daeee45d4cff4c2bbffabb07914f462803c64d16b7389c0d275b0e,3
00016c13,f978_increment_on_ff73_bit0,undefined,"",unknown,98e799932073684e407373a36166f500f2b819714a215acc8134c936dedf2b98,9
00016c33,ff88_set_scaled_clamped,void,"short",__stdcall,e3c44cd05c7710d011e9ad7759aad07bec198cca548e4cd5a06d419f64d37d0c,12
00016c4f,isr_tpu3_tgi3a,void,"",unknown,d96e0b18841bef88d0f574ac32d89fcdf3663d43a5ea01252ecb761595091254,80
00016d40,pwm_ch0_period_track_update,undefined,"",unknown,baf80d40fef24d9c7c25372d402e7bb968acb3216d6412bb947d0c10e101ebde,71
00016e1c,pwm_ch1_period_track_update,undefined,"",unknown,baf80d40fef24d9c7c25372d402e7bb968acb3216d6412bb947d0c10e101ebde,71
00016ef8,isr_tpu3_tgi3b,undefined,"",unknown,298c8314565eb9f2b0c89e88e15098c0bc14b306d7281108a396dadde3e66f90,16
00016f23,f9a0_read_clear_bit0_atomic,undefined,"",unknown,c8f0395ef615e3c00f385708cad5e6fe0993e5d7a53069fb9a42e5b7bf406297,9
00016f3b,f9a0_read_clear_bit4_atomic,undefined,"",unknown,c8f0395ef615e3c00f385708cad5e6fe0993e5d7a53069fb9a42e5b7bf406297,9
00016f53,f9a0_read_clear_bit8_atomic,undefined,"",unknown,c8f0395ef615e3c00f385708cad5e6fe0993e5d7a53069fb9a42e5b7bf406297,9
00016f6b,peripheral_block_ff00_cold_init,undefined,"",unknown,aaefde8d9250b5d6ca3d795cb4b55f1adbaefed023bf0217672a169342f02cbe,26
00016fe2,peripheral_block_ff00_warm_init,ushort,"ushort",__stdcall,846eacf853e11ad42402a880496b4019d549b0253d00033bceb83847f207ead3,49
0001709a,sci1_rx_setup,undefined,"",unknown,7fb9f2bff8a3d32456ed31b1cd2498b0650c0936676bc9300e81b10805b88ec3,20
000170eb,sci1_tx_setup,undefined,"",unknown,ad037f4c663999a99bc0eeb5466c1c11aa94db9473dff4febae6865a1c08740b,20
00017154,ff0d_clear_bits5_6,undefined,"",unknown,f7e1eea64581b63060400dd0158e0b9f68646a47a26d2c788e861f9dd12be835,3
0001715e,stub_empty_0x1715e,undefined,"",unknown,5c697bef04875c046830fdbe33a67873eac27f3e12c45c2ed89e3613cec580bc,1
00017160,adc_sensor_convert_multi,void,"uchar * uchar * ushort ushort",__stdcall_far_allstack,525f46ef25293ee3393a0cdb35e5773d0cfacad90eeaf31c096fbcb6d72d8992,42
